epoch,accuracy,loss,val_accuracy,val_loss
0,0.383614718914032,1.3190199136734009,0.4322766661643982,1.2803478240966797
1,0.6623304486274719,0.9800145030021667,0.6599423885345459,0.9182273745536804
2,0.792969822883606,0.582926332950592,0.6916426420211792,0.7685258388519287
3,0.8402988910675049,0.4227328300476074,0.6829971075057983,0.7638075947761536
4,0.8809853196144104,0.3369405269622803,0.6743515729904175,0.8271853923797607
5,0.9039579033851624,0.2772653102874756,0.6685879230499268,0.8706051111221313
6,0.9233323931694031,0.23203572630882263,0.6599423885345459,0.9715566635131836
7,0.9366177916526794,0.20080356299877167,0.6599423885345459,1.0018672943115234
8,0.947965681552887,0.17038005590438843,0.6570605039596558,1.0752944946289062
9,0.9584832787513733,0.1418667584657669,0.6829971075057983,1.14194917678833
10,0.9606974720954895,0.1303863525390625,0.6714697480201721,1.196785807609558
11,0.9667866230010986,0.12384776026010513,0.6657060384750366,1.2137880325317383
12,0.9678937196731567,0.11195434629917145,0.6714697480201721,1.2892986536026
13,0.9684472680091858,0.10573019087314606,0.6657060384750366,1.3279694318771362
14,0.9712150692939758,0.09100460261106491,0.6685879230499268,1.3786969184875488
15,0.9731525182723999,0.09394125640392303,0.6657060384750366,1.4310303926467896
16,0.9745364189147949,0.08962903916835785,0.6685879230499268,1.4907981157302856
17,0.976473867893219,0.08339525014162064,0.651296854019165,1.5312163829803467
18,0.9753667116165161,0.08005131781101227,0.6570605039596558,1.5613291263580322
19,0.9753667116165161,0.08164868503808975,0.6570605039596558,1.6028950214385986
20,0.975089967250824,0.07839977741241455,0.6541786789894104,1.5640126466751099
21,0.9784113168716431,0.07061714679002762,0.6714697480201721,1.5760619640350342
22,0.9748131632804871,0.07440674304962158,0.6599423885345459,1.6234153509140015
23,0.976473867893219,0.0741194635629654,0.651296854019165,1.6387253999710083
24,0.9767506122589111,0.06748836487531662,0.6714697480201721,1.6123871803283691
